City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,sault ste. marie,46.5168,-84.3333,4.31,100,100,3.09,CA,1714646099
143,bodden town,19.2833,-81.25,23.88,92,1,0.45,KY,1714646259
144,katsuura,35.1333,140.3,14.23,70,90,6.84,JP,1714646259
145,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,54,75,6.71,RU,1714646259
146,carauari,-4.8828,-66.8958,23.53,98,97,0.74,BR,1714646259
147,byron bay,-28.65,153.6167,17.06,72,87,5.59,AU,1714646067
148,khandyga,62.6667,135.6,-2.63,94,25,1.45,RU,1714646259
149,san pedro pochutla,15.7333,-96.4667,25.79,69,100,1.42,MX,1714646259
150,porto novo,6.4965,2.6036,32.9,66,100,4.91,BJ,1714646259
151,fortuna foothills,32.6578,-114.4119,20.03,50,0,4.63,US,1714646259
152,isafjordur,66.0755,-23.124,7.02,70,75,1.54,IS,1714646259
153,kigoma,-4.8769,29.6267,26.69,64,66,1.35,TZ,1714646259
154,tadine,-21.55,167.8833,21.54,71,100,5.91,NC,1714646259
155,fruita,39.1589,-108.729,4.73,44,0,1.54,US,1714646260
156,saldanha,-33.0117,17.9442,26.03,51,3,4.97,ZA,1714646260
157,caleta de carquin,-11.0925,-77.6267,18.88,93,17,2.84,PE,1714646260
158,hawaiian paradise park,19.5933,-154.9731,21.13,96,75,2.57,US,1714646260
159,aasiaat,68.7098,-52.8699,-9.27,89,97,1.19,GL,1714646260
160,ostrov,57.3439,28.3537,14.85,42,12,3.3,RU,1714646260
161,alice springs,-23.7,133.8833,15.75,44,0,3.6,AU,1714646260
162,lensk,60.7253,114.9278,0.91,75,96,1.84,RU,1714646260
163,kapuskasing,49.4169,-82.4331,6.05,100,100,3.09,CA,1714646260
164,port alberni,49.2413,-124.8028,8.91,93,5,1.34,CA,1714645961
165,amga,60.8953,131.9608,2.33,75,100,4.45,RU,1714646260
166,gemena,3.25,19.7667,27.38,67,100,1.05,CD,1714646260
167,happy valley-goose bay,53.3168,-60.3315,1.17,93,100,5.66,CA,1714646260
168,mtwara,-10.2667,40.1833,28.13,79,99,6.16,TZ,1714646260
169,crucecita,-28.95,-58.9833,16.93,96,100,5.06,AR,1714646260
170,masjed soleyman,31.9364,49.3039,22.2,64,100,1.78,IR,1714646260
171,ibiza,38.9088,1.433,16.9,51,20,8.75,ES,1714646260
172,acajutla,13.5928,-89.8275,27.18,80,78,2.72,SV,1714646260
173,williams lake,52.1415,-122.1445,2.76,69,20,0.0,CA,1714646260
174,yashkul',46.1711,45.3435,25.34,23,0,2.07,RU,1714646260
175,st. john's,47.5649,-52.7093,5.93,97,100,6.69,CA,1714646261
176,xilin hot,43.9667,116.0333,19.91,15,5,4.31,CN,1714646261
177,port lincoln,-34.7333,135.8667,14.54,72,0,7.12,AU,1714646261
178,port macquarie,-31.4333,152.9167,14.94,68,80,3.75,AU,1714646261
179,saint-joseph,-21.3667,55.6167,28.21,78,94,0.3,RE,1714646261
180,fortuna,40.5982,-124.1573,10.37,91,100,1.54,US,1714646163
181,kish,26.5578,54.0194,26.15,78,75,9.26,IR,1714646261
182,margaret river,-33.95,115.0667,18.47,89,24,5.33,AU,1714646261
183,west island,-12.1568,96.8225,29.99,79,40,4.63,CC,1714646261
184,beitbridge,-22.2167,30.0,32.79,16,0,7.47,ZW,1714646261
185,pathardi,19.1667,75.1833,39.44,7,2,5.24,IN,1714646261
186,gadzhiyevo,69.2551,33.3362,-0.13,75,95,4.12,RU,1714646261
187,lae,-6.7221,146.9847,24.67,86,100,0.45,PG,1714646261
188,corinto,37.9407,22.9573,24.57,41,42,1.85,GR,1714646261
189,kangaba,11.9333,-8.4167,38.08,6,83,2.51,ML,1714646261
190,fisterra,42.9049,-9.2629,12.64,74,46,6.9,ES,1714646261
191,taseyevo,57.2169,94.8978,9.63,29,99,3.13,RU,1714646261
192,cavelossim,15.1726,73.9419,31.99,50,5,4.64,IN,1714646261
193,bogra,24.85,89.3667,42.18,4,1,9.42,BD,1714646261
194,port augusta,-32.5,137.7667,15.31,64,56,3.23,AU,1714646262
195,cannonvale,-20.2833,148.7,23.66,81,36,6.9,AU,1714646262
196,tual,-5.6667,132.75,28.22,83,100,6.35,ID,1714646262
197,scarborough,54.2797,-0.4044,13.85,80,100,4.02,GB,1714646144
198,funadhoo,6.15,73.2667,30.05,75,82,3.84,MV,1714646262
199,tvoroyri,61.5556,-6.8111,8.24,96,100,6.88,FO,1714646262
200,tyup,42.7276,78.3648,14.26,28,9,1.59,KG,1714646262
201,concepcion,-36.827,-73.0498,3.89,93,0,3.6,CL,1714646081
202,uturoa,-16.7333,-151.4333,27.44,74,33,9.06,PF,1714646262
203,salym,60.0625,71.4789,-0.74,60,100,3.4,RU,1714646262
204,portland,45.5234,-122.6762,8.24,94,100,2.68,US,1714646163
205,mana,5.6592,-53.7767,26.68,87,80,4.86,GF,1714646262
206,springbok,-29.6643,17.8865,30.56,16,0,5.5,ZA,1714646262
207,college,64.8569,-147.8028,-0.31,45,75,6.17,US,1714646262
208,smidovich,48.6,133.8167,13.44,25,67,7.35,RU,1714646262
209,aykhal,66.0,111.5,-3.78,83,100,2.98,RU,1714646262
210,ola,59.5833,151.2833,0.08,88,61,1.23,RU,1714646263
211,undurkhaan,47.3194,110.6556,21.75,11,0,7.32,MN,1714646263
212,cabedelo,-6.9811,-34.8339,26.37,72,21,4.92,BR,1714646263
213,lazaro cardenas,17.9583,-102.2,22.1,77,40,1.23,MX,1714646263
214,tangalle,6.024,80.7911,33.09,74,100,5.55,LK,1714646263
215,magadan,59.5667,150.8,-0.26,96,66,1.54,RU,1714646263
216,saurimo,-9.6608,20.3916,27.99,31,35,3.22,AO,1714646263
217,verkhniy rohachyk,47.2505,34.338,24.74,29,0,5.64,UA,1714646263
218,naama,33.2667,-0.3167,15.63,45,100,1.25,DZ,1714646263
219,dali,25.7,100.1833,21.73,38,92,4.9,CN,1714646263
220,port victoria,0.0939,33.9756,24.44,68,93,3.41,KE,1714646263
221,makassar,-5.14,119.4221,27.03,100,40,2.06,ID,1714646071
222,polyarnyy,69.1989,33.4478,-0.28,76,97,4.14,RU,1714646263
223,susuman,62.7833,148.1667,-0.57,73,29,1.79,RU,1714646263
224,tommot,58.9564,126.2925,0.99,98,100,2.73,RU,1714646263
225,wonju,37.3514,127.9453,17.89,57,0,0.06,KR,1714646263
226,nchelenge,-9.3451,28.734,26.17,50,4,2.84,ZM,1714646263
227,tolanaro,-25.0319,46.9987,25.53,72,2,5.53,MG,1714646263
228,shingu,33.7333,135.9833,14.34,91,100,1.56,JP,1714646264
229,new norfolk,-42.7826,147.0587,10.72,94,30,0.83,AU,1714646264
230,mao,39.8885,4.2658,17.31,51,20,6.69,ES,1714646229
231,hithadhoo,-0.6,73.0833,29.07,76,28,3.06,MV,1714646264
232,mandera,3.9366,41.867,34.84,38,88,4.93,KE,1714646264
233,severnoye,56.3491,78.3619,4.99,77,93,4.92,RU,1714646264
234,utrik,11.2278,169.8474,27.13,83,96,7.97,MH,1714646264
235,vila do maio,15.1333,-23.2167,28.44,77,0,7.27,CV,1714646264
236,shiqian,27.5225,108.2281,13.54,95,100,1.0,CN,1714646264
237,sarkand,45.41,79.9186,17.68,33,7,3.19,KZ,1714646264
238,camarinas,43.1311,-9.1817,12.74,73,67,7.16,ES,1714646264
239,namibe,-15.1961,12.1522,27.91,55,66,3.78,AO,1714646264
240,port saint john's,-31.6229,29.5448,26.02,64,23,3.67,ZA,1714646264
241,horta,38.5333,-28.6333,17.8,95,75,6.26,PT,1714646264
242,georgetown,5.4112,100.3354,31.97,70,40,4.12,MY,1714646015
243,dongning,44.0622,131.1207,16.4,44,60,2.45,CN,1714646264
244,lluta,-16.0147,-72.0142,10.31,69,84,0.55,PE,1714646264
245,oamaru,-45.0784,170.9801,7.99,74,23,2.34,NZ,1714646264
246,pursat,12.3333,103.6667,32.22,45,96,1.56,KH,1714646264
247,koungheul,13.9833,-14.8,38.55,7,0,5.64,SN,1714646265
248,puerto princesa,9.7392,118.7353,30.99,70,20,2.06,PH,1714646265
249,touros,-5.1989,-35.4608,27.76,77,67,4.64,BR,1714646265
250,anyama,5.4946,-4.0518,30.45,84,100,3.98,CI,1714646265
251,birjand,32.8663,59.2211,25.26,15,100,7.2,IR,1714646265
252,santa cruz,-17.8,-63.1667,26.03,89,75,7.72,BO,1714646178
253,sitka,57.0531,-135.33,6.94,81,0,0.0,US,1714646265
254,suntar,62.1444,117.6319,-2.24,92,100,0.99,RU,1714646265
255,carloforte,39.145,8.3058,15.62,69,0,7.76,IT,1714646265
256,al majaridah,19.1236,41.9111,33.81,36,16,1.63,SA,1714646265
257,quepos,9.4236,-84.1652,26.67,82,53,1.3,CR,1714646265
258,vila franca do campo,37.7167,-25.4333,18.27,99,100,8.38,PT,1714646265
259,arenapolis,-14.4503,-56.8461,22.35,79,5,1.73,BR,1714646265
260,alofi,-19.0595,-169.9187,25.94,89,16,2.06,NU,1714646265
261,banos,-1.4,-78.4167,14.74,94,70,0.37,EC,1714646265
262,yangambi,0.8102,24.4336,30.5,57,84,1.02,CD,1714646265
263,tuxpan,19.55,-103.4,16.41,66,98,1.8,MX,1714646265
264,anta,25.15,76.3,37.46,6,37,3.14,IN,1714646265
265,sharypovo,55.5403,89.2008,6.81,39,99,5.36,RU,1714646265
266,loboc,9.6383,124.0348,27.33,69,75,2.93,PH,1714646266
267,peterhead,57.5058,-1.7981,15.81,83,4,6.78,GB,1714646169
268,iskateley,67.6803,53.1512,-8.88,93,33,5.81,RU,1714646266
269,basoko,1.2391,23.616,25.12,90,97,0.87,CD,1714646266
270,kokopo,-4.352,152.2633,26.31,86,93,2.19,PG,1714646266
271,roccella ionica,38.322,16.4009,21.68,50,54,6.78,IT,1714646266
272,palencia,42.4167,-4.5,8.29,52,31,6.14,ES,1714646266
273,remire-montjoly,4.9167,-52.2667,25.02,100,75,1.03,GF,1714646266
274,marsa alam,25.0757,34.8918,29.66,45,0,8.27,EG,1714646266
275,vorkuta,67.5,64.0,-11.61,85,80,3.58,RU,1714646266
276,east london,-33.0153,27.9116,24.52,73,0,4.12,ZA,1714646266
277,wingham,43.8879,-81.3114,7.52,92,100,4.29,CA,1714646266
278,nogliki,51.8333,143.1667,1.86,71,99,3.58,RU,1714646266
279,penzance,50.1186,-5.5371,12.09,87,40,4.63,GB,1714646164
280,fort mcmurray,56.7268,-111.381,1.77,80,0,3.6,CA,1714646114
281,aral,40.5156,81.2636,22.02,19,21,1.54,CN,1714646266
282,zbarazh,49.6636,25.7762,20.93,40,100,4.67,UA,1714646266
283,nuuk,64.1835,-51.7216,-2.66,68,75,7.72,GL,1714645980
284,bayganin,48.6947,55.8742,16.33,42,35,6.73,KZ,1714646266
285,burley,42.5357,-113.7928,1.83,58,40,4.12,US,1714646266
286,sao joao da barra,-21.6403,-41.0511,22.05,85,0,4.6,BR,1714646266
287,manicore,-5.8092,-61.3003,24.45,90,100,0.94,BR,1714646267
288,phan rang-thap cham,11.5667,108.9833,28.92,71,75,2.98,VN,1714646267
289,mandalgovi,45.7625,106.2708,19.84,9,6,9.12,MN,1714646267
290,pitimbu,-7.4706,-34.8086,26.33,70,38,4.65,BR,1714646267
291,ardakan,32.31,54.0175,24.31,37,100,3.71,IR,1714646267
292,igarka,67.4667,86.5833,-8.24,84,100,3.22,RU,1714646267
293,liuhe,42.2401,125.7172,17.9,32,3,3.62,CN,1714646267
294,hastings,50.8552,0.5729,15.74,93,95,4.36,GB,1714646037
295,ko pha ngan,9.7578,100.0291,30.38,75,100,4.34,TH,1714646267
296,rongelap,11.1635,166.8941,27.31,82,80,7.23,MH,1714646267
297,tabou,4.423,-7.3528,28.69,80,100,3.2,CI,1714646267
298,kimbe,-5.5502,150.1429,25.95,92,100,1.28,PG,1714646267
299,tralee,52.2704,-9.7026,8.14,93,100,0.0,IE,1714646267
300,tazacorte,28.629,-17.9293,21.75,69,75,2.57,ES,1714646267
301,dostpur,26.2833,82.4667,38.59,5,5,7.2,IN,1714646267
302,holualoa,19.6228,-155.9522,21.91,91,40,3.6,US,1714646267
303,fukuecho,32.6881,128.8419,15.2,72,75,5.66,JP,1714646268
304,laguna,38.421,-121.4238,14.1,54,0,3.09,US,1714646232
305,indre arna,60.4247,5.4764,23.27,40,30,0.47,NO,1714646268
306,kolkhozobod,37.5882,68.6589,28.36,26,49,2.88,TJ,1714646268
307,severo-yeniseyskiy,60.3725,93.0408,1.43,71,100,4.92,RU,1714646268
308,xianyang,34.3378,108.7026,18.58,68,95,4.0,CN,1714646268
309,tahe,52.3333,124.7333,4.31,39,55,3.11,CN,1714646268
310,nizhnyaya tavda,57.6731,66.1725,6.69,39,94,0.63,RU,1714646268
311,colonia,50.9333,6.95,25.53,50,0,2.06,DE,1714646157
312,muisne,0.6,-80.0333,25.84,88,100,3.05,EC,1714646268
313,timimoun,29.2639,0.231,29.21,10,0,2.57,DZ,1714645969
314,chonchi,-42.6128,-73.8092,3.95,92,58,0.8,CL,1714646268
315,mariental,-24.6333,17.9667,30.25,12,0,9.28,NA,1714646268
316,prado,-17.3411,-39.2208,25.9,73,23,1.42,BR,1714646268
317,bengkulu,-3.8004,102.2655,26.8,90,100,2.54,ID,1714646268
318,qashyr,53.0675,76.1036,9.78,53,100,4.39,KZ,1714646268
319,baki,-7.6128,110.7839,25.9,88,27,3.59,ID,1714646268
320,kachkanar,58.7,59.4948,3.79,53,100,3.19,RU,1714646268
321,takestan,36.0696,49.6959,21.07,34,100,2.72,IR,1714646268
322,sydney mines,46.2367,-60.2177,6.81,94,75,3.09,CA,1714646269
323,paka,4.6374,103.4368,30.96,74,20,2.57,MY,1714646269
324,el fasher,13.6279,25.3494,37.09,7,36,5.22,SD,1714646269
325,san julian,21.0167,-102.1667,15.36,34,100,2.22,MX,1714646269
326,coquimbo,-29.9533,-71.3436,8.85,87,0,2.57,CL,1714646222
327,la plata,-34.9215,-57.9545,9.46,61,99,3.38,AR,1714646054
328,lompoc,34.6391,-120.4579,13.77,97,0,3.6,US,1714646269
329,syumsi,57.1111,51.6149,6.73,47,100,2.73,RU,1714646269
330,ancud,-41.8697,-73.8203,5.6,87,83,2.2,CL,1714646269
331,ariquemes,-9.9133,-63.0408,23.94,94,94,0.36,BR,1714646269
332,alaghsas,17.0187,8.0168,39.94,16,0,2.06,NE,1714646269
333,san vicente,-26.6167,-54.1333,24.96,61,85,3.96,AR,1714646078
334,tuba city,36.135,-111.2399,9.65,34,0,0.89,US,1714646269
335,ballina,-28.8667,153.5667,17.1,71,89,6.99,AU,1714646269
336,wuyishan,28.0047,117.8114,16.34,98,97,0.68,CN,1714646269
337,konstancin-jeziorna,52.0938,21.1176,26.23,35,0,6.17,PL,1714646197
338,les cayes,18.2,-73.75,25.01,82,6,2.06,HT,1714646269
339,russkiy,43.0147,131.8642,11.92,92,28,4.78,RU,1714646269
340,howard springs,-12.497,131.047,29.95,81,80,1.25,AU,1714646269
341,brookings,44.3114,-96.7984,9.0,85,20,4.63,US,1714646269
